Category: All categories

Month,diet: (Worldwide),gym: (Worldwide),finance: (Worldwide),salad: (Worldwide)
2004-01,100,31,47,12
2004-02,75,25,48,11
2004-03,68,24,47,13
2004-04,69,22,45,15
2004-05,72,22,42,17
2004-06,63,23,44,17
2004-07,60,24,44,19
2004-08,56,26,43,18
2004-09,54,25,42,16
2004-10,51,23,42,16
2004-11,50,23,42,19
2004-12,42,22,39,21
2005-01,62,33,44,17
2005-02,54,28,44,17
2005-03,55,26,44,19
2005-04,55,24,42,19
2005-05,57,24,43,22
2005-06,53,24,44,23
2005-07,51,24,42,24
2005-08,51,27,43,20
2005-09,45,27,44,18
2005-10,46,26,44,17
2005-11,43,25,40,18
2005-12,38,24,38,20
2006-01,62,33,44,16
2006-02,52,28,44,16
2006-03,50,27,47,16
2006-04,50,25,45,20
2006-05,49,25,45,21
2006-06,52,25,43,23
2006-07,49,27,43,24
2006-08,48,29,44,19
2006-09,45,29,45,16
2006-10,42,27,45,14
2006-11,41,26,43,16
2006-12,37,26,39,17
2007-01,56,34,46,14
2007-02,48,32,48,13
2007-03,50,31,47,14
2007-04,52,31,49,17
2007-05,47,31,46,18
2007-06,48,29,45,19
2007-07,49,30,50,21
2007-08,44,31,51,18
2007-09,43,31,49,15
2007-10,41,27,49,13
2007-11,39,28,49,15
2007-12,34,26,42,16
2008-01,52,35,50,14
2008-02,45,29,49,13
2008-03,44,28,49,15
2008-04,47,28,53,16
2008-05,43,26,47,19
2008-06,42,26,50,20
2008-07,42,27,50,21
2008-08,43,30,48,18
2008-09,40,31,62,14
2008-10,42,27,71,13
2008-11,40,28,56,16
2008-12,36,27,51,17
2009-01,52,36,53,15
2009-02,44,29,56,14
2009-03,47,29,58,15
2009-04,49,28,56,19
2009-05,46,28,53,20
2009-06,45,27,52,21
2009-07,46,28,55,24
2009-08,47,30,56,21
2009-09,42,29,58,17
2009-10,44,27,54,15
2009-11,40,27,50,18
2009-12,38,27,46,18
2010-01,56,34,49,15
2010-02,49,31,52,15
2010-03,50,29,53,17
2010-04,52,29,53,20
2010-05,50,28,50,21
2010-06,47,28,52,23
2010-07,48,28,50,26
2010-08,47,31,50,22
2010-09,46,31,52,18
2010-10,45,29,49,16
2010-11,42,29,48,19
2010-12,39,28,45,19
2011-01,58,38,48,19
2011-02,52,33,50,18
2011-03,52,32,50,18
2011-04,56,30,49,22
2011-05,57,32,48,24
2011-06,52,31,46,26
2011-07,54,30,48,28
2011-08,51,33,56,25
2011-09,48,35,50,20
2011-10,48,32,48,18
2011-11,47,33,45,21
2011-12,43,31,40,21
2012-01,62,42,44,20
2012-02,56,36,46,20
2012-03,55,34,46,21
2012-04,54,35,45,24
2012-05,53,33,46,26
2012-06,52,34,43,28
2012-07,54,36,44,31
2012-08,53,37,44,26
2012-09,50,37,47,23
2012-10,45,34,44,19
2012-11,43,32,41,21
2012-12,39,32,38,23
2013-01,63,43,47,23
2013-02,55,38,47,21
2013-03,56,36,44,23
2013-04,57,37,46,23
2013-05,55,37,46,27
2013-06,53,37,43,31
2013-07,54,36,43,34
2013-08,52,38,44,29
2013-09,49,40,46,23
2013-10,47,38,47,20
2013-11,45,37,44,22
2013-12,40,36,40,24
2014-01,60,47,46,24
2014-02,51,42,45,21
2014-03,52,40,45,22
2014-04,52,41,45,27
2014-05,49,38,42,28
2014-06,50,39,42,29
2014-07,45,38,44,33
2014-08,46,40,44,29
2014-09,45,41,49,23
2014-10,43,36,47,20
2014-11,39,37,43,23
2014-12,37,38,42,23
2015-01,55,48,44,23
2015-02,48,44,46,21
2015-03,50,42,46,23
2015-04,49,41,45,26
2015-05,48,41,43,27
2015-06,47,41,44,30
2015-07,45,42,47,33
2015-08,45,43,47,28
2015-09,43,43,48,24
2015-10,41,39,44,21
2015-11,38,40,41,23
2015-12,36,39,39,25
2016-01,51,51,42,24
2016-02,47,47,45,23
2016-03,47,45,43,25
2016-04,48,44,42,25
2016-05,45,43,42,29
2016-06,44,47,45,31
2016-07,43,55,41,34
2016-08,43,52,41,27
2016-09,41,48,43,24
2016-10,40,44,41,22
2016-11,37,44,43,23
2016-12,36,43,38,24
2017-01,53,56,41,24
2017-02,56,50,42,24
2017-03,50,50,44,24
2017-04,48,47,40,27
2017-05,49,47,42,29
2017-06,48,50,42,31
2017-07,50,51,43,33
2017-08,44,50,43,28
2017-09,42,48,46,25
2017-10,44,45,45,24
2017-11,42,47,47,25
2017-12,39,45,51,27
2018-01,62,60,54,26
