Category: All categories

Month,diet: (Worldwide),gym: (Worldwide),salad: (Worldwide),exercise: (Worldwide)
2004-01,100,30,12,28
2004-02,74,25,11,27
2004-03,65,25,13,26
2004-04,67,22,14,24
2004-05,73,23,17,23
2004-06,62,23,17,24
2004-07,58,23,18,22
2004-08,56,26,19,22
2004-09,56,26,16,23
2004-10,50,23,16,22
2004-11,50,24,20,22
2004-12,41,23,21,21
2005-01,62,32,18,27
2005-02,54,27,16,25
2005-03,54,26,18,25
2005-04,55,25,19,24
2005-05,56,24,21,22
2005-06,51,24,23,21
2005-07,52,24,24,21
2005-08,52,27,21,20
2005-09,46,27,18,20
2005-10,45,25,17,20
2005-11,43,25,18,22
2005-12,39,24,20,20
2006-01,62,33,16,25
2006-02,51,28,16,23
2006-03,50,27,17,22
2006-04,49,25,19,21
2006-05,49,25,20,20
2006-06,51,24,22,19
2006-07,49,27,24,18
2006-08,48,29,19,18
2006-09,45,29,16,19
2006-10,42,27,15,19
2006-11,42,26,16,19
2006-12,36,25,17,17
2007-01,57,34,14,22
2007-02,48,32,13,20
2007-03,50,30,14,19
2007-04,52,31,17,19
2007-05,47,31,18,18
2007-06,48,30,19,17
2007-07,49,30,21,18
2007-08,43,31,18,17
2007-09,43,31,16,18
2007-10,42,27,13,18
2007-11,38,27,15,18
2007-12,34,27,16,17
2008-01,51,34,14,21
2008-02,44,29,13,20
2008-03,44,28,15,19
2008-04,46,27,15,20
2008-05,44,26,18,18
2008-06,41,27,20,17
2008-07,42,28,22,17
2008-08,43,31,18,16
2008-09,40,32,14,16
2008-10,40,28,13,17
2008-11,40,28,16,17
2008-12,36,26,16,16
2009-01,51,34,15,20
2009-02,45,29,14,19
2009-03,47,28,15,20
2009-04,49,29,18,19
2009-05,46,28,20,18
2009-06,45,27,21,18
2009-07,45,27,23,18
2009-08,46,29,20,17
2009-09,43,29,17,18
2009-10,43,27,15,18
2009-11,41,27,18,18
2009-12,38,26,18,16
2010-01,56,35,15,21
2010-02,49,31,15,20
2010-03,50,29,16,20
2010-04,51,29,19,19
2010-05,49,28,22,18
2010-06,47,28,23,17
2010-07,48,29,26,17
2010-08,48,30,23,16
2010-09,46,30,18,17
2010-10,45,27,16,16
2010-11,41,28,18,17
2010-12,39,27,19,15
2011-01,55,38,18,20
2011-02,51,33,18,19
2011-03,51,31,18,18
2011-04,58,30,23,18
2011-05,56,32,24,18
2011-06,53,32,26,17
2011-07,53,30,28,17
2011-08,50,33,25,17
2011-09,49,34,21,18
2011-10,46,32,18,17
2011-11,47,32,21,17
2011-12,43,31,21,15
2012-01,62,42,20,19
2012-02,57,36,19,20
2012-03,55,34,20,20
2012-04,55,34,23,19
2012-05,54,33,26,19
2012-06,53,35,28,18
2012-07,53,35,31,18
2012-08,53,37,27,18
2012-09,51,37,23,19
2012-10,46,34,19,18
2012-11,43,32,21,17
2012-12,40,32,23,16
2013-01,62,42,21,22
2013-02,56,38,20,20
2013-03,55,37,24,20
2013-04,59,37,23,21
2013-05,54,36,27,19
2013-06,53,37,31,19
2013-07,54,37,34,19
2013-08,51,38,28,18
2013-09,50,39,23,19
2013-10,46,38,20,19
2013-11,45,37,22,18
2013-12,40,35,23,17
2014-01,62,48,23,22
2014-02,52,42,22,21
2014-03,52,40,23,21
2014-04,52,41,26,22
2014-05,50,39,28,20
2014-06,50,39,30,19
2014-07,47,38,34,19
2014-08,44,41,28,20
2014-09,44,41,23,20
2014-10,42,38,21,19
2014-11,40,36,23,19
2014-12,37,37,24,18
2015-01,55,50,23,22
2015-02,46,43,21,21
2015-03,49,43,24,22
2015-04,48,40,25,21
2015-05,46,39,27,20
2015-06,45,41,30,21
2015-07,46,41,32,20
2015-08,45,44,28,20
2015-09,41,44,24,20
2015-10,40,39,21,20
2015-11,38,40,24,19
2015-12,36,39,25,18
2016-01,50,50,23,23
2016-02,47,45,23,23
2016-03,46,45,25,22
2016-04,48,44,24,22
2016-05,46,44,29,21
2016-06,43,45,30,20
2016-07,43,55,34,21
2016-08,43,52,28,21
2016-09,41,49,24,20
2016-10,41,45,21,20
2016-11,36,42,24,20
2016-12,35,42,23,18
2017-01,53,55,24,23
2017-02,55,51,23,23
2017-03,51,49,24,23
2017-04,49,46,28,22
2017-05,48,46,29,20
2017-06,48,49,31,20
2017-07,49,50,34,21
2017-08,45,49,29,20
2017-09,42,48,25,24
2017-10,43,46,23,22
2017-11,42,46,25,21
2017-12,38,45,27,18
2018-01,59,60,26,23
